fixlog20250324065651.log:8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2025-03-24-06:58:33, 55=MSFT, 40=2, 38=30112, 21=2, 11=algo20250324065833, 60=2025-03-24-06:58:33, 54=1, 44=59.89, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=68, 49=M3, 56=MS, 52=2025-03-24-06:58:50, 55=AMGN, 40=2, 38=9937, 21=2, 11=algo20250324065850, 60=2025-03-24-06:58:50, 54=1, 44=116.62, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=69, 49=M3, 56=MS, 52=2025-03-24-06:58:54, 55=PYPL, 40=2, 38=11376, 21=2, 11=algo20250324065854, 60=2025-03-24-06:58:54, 54=2, 44=723.61, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=71, 49=M3, 56=MS, 52=2025-03-24-06:58:56, 55=TSLA, 40=2, 38=19832, 21=2, 11=algo20250324065856, 60=2025-03-24-06:58:56, 54=2, 44=503.77, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=72, 49=M3, 56=MS, 52=2025-03-24-06:58:59, 55=TXN, 40=2, 38=3665, 21=2, 11=algo20250324065859, 60=2025-03-24-06:58:59, 54=1, 44=112.46, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=73, 49=M3, 56=MS, 52=2025-03-24-06:59:00, 55=AVGO, 40=2, 38=20243, 21=2, 11=algo20250324065900, 60=2025-03-24-06:59:00, 54=1, 44=262.99, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=74, 49=M3, 56=MS, 52=2025-03-24-06:59:01, 55=GILD, 40=2, 38=28514, 21=2, 11=algo20250324065901, 60=2025-03-24-06:59:01, 54=1, 44=82.91, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=76, 49=M3, 56=MS, 52=2025-03-24-06:59:05, 55=SBUX, 40=2, 38=30685, 21=2, 11=algo20250324065905, 60=2025-03-24-06:59:05, 54=2, 44=75.71, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=78, 49=M3, 56=MS, 52=2025-03-24-06:59:09, 55=QCOM, 40=2, 38=10175, 21=2, 11=algo20250324065909, 60=2025-03-24-06:59:09, 54=2, 44=75.47, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=79, 49=M3, 56=MS, 52=2025-03-24-06:59:12, 55=TMUS, 40=2, 38=24093, 21=2, 11=algo20250324065912, 60=2025-03-24-06:59:12, 54=2, 44=90.74, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=81, 49=M3, 56=MS, 52=2025-03-24-06:59:14, 55=MDLZ, 40=2, 38=13570, 21=2, 11=algo20250324065914, 60=2025-03-24-06:59:14, 54=1, 44=52.26, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2025-03-24-06:59:16, 55=BAC, 40=2, 38=2271, 21=2, 11=algo20250324065916, 60=2025-03-24-06:59:16, 54=2, 44=22.03, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=85, 49=M3, 56=MS, 52=2025-03-24-06:59:19, 55=DDD, 40=2, 38=30581, 21=2, 11=algo20250324065919, 60=2025-03-24-06:59:19, 54=1, 44=8.01, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=87, 49=M3, 56=MS, 52=2025-03-24-06:59:21, 55=MMM, 40=2, 38=5493, 21=2, 11=algo20250324065921, 60=2025-03-24-06:59:21, 54=1, 44=146.98, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=88, 49=M3, 56=MS, 52=2025-03-24-06:59:24, 55=WBAI, 40=2, 38=240, 21=2, 11=algo20250324065924, 60=2025-03-24-06:59:24, 54=2, 44=4.10, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=89, 49=M3, 56=MS, 52=2025-03-24-06:59:26, 55=WUBA, 40=2, 38=19361, 21=2, 11=algo20250324065926, 60=2025-03-24-06:59:26, 54=1, 44=51.41, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=91, 49=M3, 56=MS, 52=2025-03-24-06:59:29, 55=EGHT, 40=2, 38=3810, 21=2, 11=algo20250324065929, 60=2025-03-24-06:59:29, 54=1, 44=17.03, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=93, 49=M3, 56=MS, 52=2025-03-24-06:59:31, 55=AHC, 40=2, 38=20860, 21=2, 11=algo20250324065931, 60=2025-03-24-06:59:31, 54=2, 44=1.40, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=94, 49=M3, 56=MS, 52=2025-03-24-06:59:32, 55=AOS, 40=2, 38=2317, 21=2, 11=algo20250324065932, 60=2025-03-24-06:59:32, 54=1, 44=40.38, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=96, 49=M3, 56=MS, 52=2025-03-24-06:59:34, 55=ATEN, 40=2, 38=6668, 21=2, 11=algo20250324065934, 60=2025-03-24-06:59:34, 54=2, 44=6.45, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=98, 49=M3, 56=MS, 52=2025-03-24-06:59:36, 55=AIR, 40=2, 38=26858, 21=2, 11=algo20250324065936, 60=2025-03-24-06:59:36, 54=2, 44=16.31, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=100, 49=M3, 56=MS, 52=2025-03-24-06:59:39, 55=AAN, 40=2, 38=605, 21=2, 11=algo20250324065939, 60=2025-03-24-06:59:39, 54=2, 44=25.68, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=102, 49=M3, 56=MS, 52=2025-03-24-06:59:42, 55=ABB, 40=2, 38=10178, 21=2, 11=algo20250324065942, 60=2025-03-24-06:59:42, 54=1, 44=17.42, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=104, 49=M3, 56=MS, 52=2025-03-24-06:59:44, 55=ABT, 40=2, 38=1933, 21=2, 11=algo20250324065944, 60=2025-03-24-06:59:44, 54=2, 44=94.04, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=106, 49=M3, 56=MS, 52=2025-03-24-06:59:46, 55=ABBV, 40=2, 38=1098, 21=2, 11=algo20250324065946, 60=2025-03-24-06:59:46, 54=2, 44=83.60, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=108, 49=M3, 56=MS, 52=2025-03-24-06:59:48, 55=ANF, 40=2, 38=21686, 21=2, 11=algo20250324065948, 60=2025-03-24-06:59:48, 54=1, 44=9.10, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=110, 49=M3, 56=MS, 52=2025-03-24-06:59:50, 55=ABM, 40=2, 38=6516, 21=2, 11=algo20250324065950, 60=2025-03-24-06:59:50, 54=2, 44=31.64, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=112, 49=M3, 56=MS, 52=2025-03-24-06:59:52, 55=AAPL, 40=2, 38=540, 21=2, 11=algo20250324065952, 60=2025-03-24-06:59:52, 54=2, 44=284.65, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=114, 49=M3, 56=MS, 52=2025-03-24-06:59:54, 55=PEP, 40=2, 38=12743, 21=2, 11=algo20250324065954, 60=2025-03-24-06:59:54, 54=2, 44=45.43, 10=0252,
fixlog20250324065651.log:8=FIX4.4, 35=D, 34=116, 49=M3, 56=MS, 52=2025-03-24-06:59:57, 55=, 40=2, 38=5804, 21=2, 11=algo20250324065957, 60=2025-03-24-06:59:57, 54=1, 44=, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2025-03-24-06:58:59, 55=AAPL, 40=2, 38=19584, 21=2, 11=algo20250324065859, 60=2025-03-24-06:58:59, 54=1, 44=1276.37, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2025-03-24-06:59:01, 55=MSFT, 40=2, 38=21064, 21=2, 11=algo20250324065901, 60=2025-03-24-06:59:01, 54=1, 44=59.89, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=56, 49=M3, 56=MS, 52=2025-03-24-06:59:03, 55=AMZN, 40=2, 38=30071, 21=2, 11=algo20250324065903, 60=2025-03-24-06:59:03, 54=2, 44=133.47, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2025-03-24-06:59:05, 55=FB, 40=2, 38=8673, 21=2, 11=algo20250324065905, 60=2025-03-24-06:59:05, 54=1, 44=430.62, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2025-03-24-06:59:09, 55=GOOG, 40=2, 38=11783, 21=2, 11=algo20250324065909, 60=2025-03-24-06:59:09, 54=2, 44=42.05, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=61, 49=M3, 56=MS, 52=2025-03-24-06:59:13, 55=GOOGL, 40=2, 38=22257, 21=2, 11=algo20250324065913, 60=2025-03-24-06:59:13, 54=2, 44=289.20, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=62, 49=M3, 56=MS, 52=2025-03-24-06:59:14, 55=INTC, 40=2, 38=8093, 21=2, 11=algo20250324065914, 60=2025-03-24-06:59:14, 54=2, 44=339.13, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=64, 49=M3, 56=MS, 52=2025-03-24-06:59:18, 55=PEP, 40=2, 38=20381, 21=2, 11=algo20250324065918, 60=2025-03-24-06:59:18, 54=1, 44=36.21, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=66, 49=M3, 56=MS, 52=2025-03-24-06:59:20, 55=NFLX, 40=2, 38=2665, 21=2, 11=algo20250324065920, 60=2025-03-24-06:59:20, 54=2, 44=306.71, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=67, 49=M3, 56=MS, 52=2025-03-24-06:59:21, 55=CSCO, 40=2, 38=23587, 21=2, 11=algo20250324065921, 60=2025-03-24-06:59:21, 54=2, 44=233.73, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=69, 49=M3, 56=MS, 52=2025-03-24-06:59:23, 55=AMGN, 40=2, 38=27530, 21=2, 11=algo20250324065923, 60=2025-03-24-06:59:23, 54=1, 44=116.62, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=71, 49=M3, 56=MS, 52=2025-03-24-06:59:25, 55=PYPL, 40=2, 38=6158, 21=2, 11=algo20250324065925, 60=2025-03-24-06:59:25, 54=2, 44=723.61, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=72, 49=M3, 56=MS, 52=2025-03-24-06:59:26, 55=TSLA, 40=2, 38=22135, 21=2, 11=algo20250324065926, 60=2025-03-24-06:59:26, 54=1, 44=503.77, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=74, 49=M3, 56=MS, 52=2025-03-24-06:59:28, 55=TXN, 40=2, 38=1723, 21=2, 11=algo20250324065928, 60=2025-03-24-06:59:28, 54=2, 44=112.46, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=75, 49=M3, 56=MS, 52=2025-03-24-06:59:30, 55=AVGO, 40=2, 38=15696, 21=2, 11=algo20250324065930, 60=2025-03-24-06:59:30, 54=2, 44=262.99, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=77, 49=M3, 56=MS, 52=2025-03-24-06:59:32, 55=GILD, 40=2, 38=22712, 21=2, 11=algo20250324065932, 60=2025-03-24-06:59:32, 54=2, 44=82.91, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=78, 49=M3, 56=MS, 52=2025-03-24-06:59:33, 55=SBUX, 40=2, 38=7160, 21=2, 11=algo20250324065933, 60=2025-03-24-06:59:33, 54=2, 44=75.71, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=79, 49=M3, 56=MS, 52=2025-03-24-06:59:34, 55=QCOM, 40=2, 38=4910, 21=2, 11=algo20250324065934, 60=2025-03-24-06:59:34, 54=2, 44=75.47, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=81, 49=M3, 56=MS, 52=2025-03-24-06:59:36, 55=TMUS, 40=2, 38=23644, 21=2, 11=algo20250324065936, 60=2025-03-24-06:59:36, 54=2, 44=90.74, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2025-03-24-06:59:39, 55=MDLZ, 40=2, 38=18064, 21=2, 11=algo20250324065939, 60=2025-03-24-06:59:39, 54=1, 44=52.26, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=84, 49=M3, 56=MS, 52=2025-03-24-06:59:42, 55=BAC, 40=2, 38=6280, 21=2, 11=algo20250324065942, 60=2025-03-24-06:59:42, 54=1, 44=22.03, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=85, 49=M3, 56=MS, 52=2025-03-24-06:59:43, 55=DDD, 40=2, 38=16561, 21=2, 11=algo20250324065943, 60=2025-03-24-06:59:43, 54=2, 44=8.01, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=87, 49=M3, 56=MS, 52=2025-03-24-06:59:45, 55=MMM, 40=2, 38=28900, 21=2, 11=algo20250324065945, 60=2025-03-24-06:59:45, 54=1, 44=146.98, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=88, 49=M3, 56=MS, 52=2025-03-24-06:59:46, 55=WBAI, 40=2, 38=13341, 21=2, 11=algo20250324065946, 60=2025-03-24-06:59:46, 54=1, 44=4.10, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=89, 49=M3, 56=MS, 52=2025-03-24-06:59:47, 55=WUBA, 40=2, 38=24770, 21=2, 11=algo20250324065947, 60=2025-03-24-06:59:47, 54=2, 44=51.41, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=91, 49=M3, 56=MS, 52=2025-03-24-06:59:49, 55=EGHT, 40=2, 38=18386, 21=2, 11=algo20250324065949, 60=2025-03-24-06:59:49, 54=2, 44=17.03, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=93, 49=M3, 56=MS, 52=2025-03-24-06:59:52, 55=AHC, 40=2, 38=20794, 21=2, 11=algo20250324065952, 60=2025-03-24-06:59:52, 54=2, 44=1.40, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=95, 49=M3, 56=MS, 52=2025-03-24-06:59:54, 55=AOS, 40=2, 38=14341, 21=2, 11=algo20250324065954, 60=2025-03-24-06:59:54, 54=1, 44=40.38, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=97, 49=M3, 56=MS, 52=2025-03-24-06:59:57, 55=ATEN, 40=2, 38=4851, 21=2, 11=algo20250324065957, 60=2025-03-24-06:59:57, 54=1, 44=6.45, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=99, 49=M3, 56=MS, 52=2025-03-24-06:59:59, 55=AIR, 40=2, 38=6115, 21=2, 11=algo20250324065959, 60=2025-03-24-06:59:59, 54=1, 44=16.31, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=101, 49=M3, 56=MS, 52=2025-03-24-07:00:02, 55=AAN, 40=2, 38=30473, 21=2, 11=algo20250324070002, 60=2025-03-24-07:00:02, 54=1, 44=25.68, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=103, 49=M3, 56=MS, 52=2025-03-24-07:00:06, 55=ABB, 40=2, 38=2244, 21=2, 11=algo20250324070006, 60=2025-03-24-07:00:06, 54=2, 44=17.42, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=105, 49=M3, 56=MS, 52=2025-03-24-07:00:09, 55=ABT, 40=2, 38=14550, 21=2, 11=algo20250324070009, 60=2025-03-24-07:00:09, 54=2, 44=94.04, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=106, 49=M3, 56=MS, 52=2025-03-24-07:00:10, 55=ABBV, 40=2, 38=17483, 21=2, 11=algo20250324070010, 60=2025-03-24-07:00:10, 54=1, 44=83.60, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=107, 49=M3, 56=MS, 52=2025-03-24-07:00:12, 55=ANF, 40=2, 38=4730, 21=2, 11=algo20250324070012, 60=2025-03-24-07:00:12, 54=2, 44=9.10, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=109, 49=M3, 56=MS, 52=2025-03-24-07:00:14, 55=ABM, 40=2, 38=10217, 21=2, 11=algo20250324070014, 60=2025-03-24-07:00:14, 54=2, 44=31.64, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=111, 49=M3, 56=MS, 52=2025-03-24-07:00:18, 55=AAPL, 40=2, 38=21747, 21=2, 11=algo20250324070018, 60=2025-03-24-07:00:18, 54=1, 44=284.65, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=113, 49=M3, 56=MS, 52=2025-03-24-07:00:20, 55=PEP, 40=2, 38=15428, 21=2, 11=algo20250324070020, 60=2025-03-24-07:00:20, 54=1, 44=45.43, 10=0252,
fixlog20250324065719.log:8=FIX4.4, 35=D, 34=115, 49=M3, 56=MS, 52=2025-03-24-07:00:22, 55=, 40=2, 38=31095, 21=2, 11=algo20250324070022, 60=2025-03-24-07:00:22, 54=1, 44=, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2025-03-24-07:04:17, 55=AAPL, 40=2, 38=9328, 21=2, 11=algo20250324070417, 60=2025-03-24-07:04:17, 54=1, 44=1276.37, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2025-03-24-07:04:19, 55=MSFT, 40=2, 38=5335, 21=2, 11=algo20250324070419, 60=2025-03-24-07:04:19, 54=2, 44=59.89, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=55, 49=M3, 56=MS, 52=2025-03-24-07:04:22, 55=AMZN, 40=2, 38=4279, 21=2, 11=algo20250324070422, 60=2025-03-24-07:04:22, 54=1, 44=133.47, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=56, 49=M3, 56=MS, 52=2025-03-24-07:04:23, 55=FB, 40=2, 38=18066, 21=2, 11=algo20250324070423, 60=2025-03-24-07:04:23, 54=2, 44=430.62, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2025-03-24-07:04:24, 55=GOOG, 40=2, 38=4655, 21=2, 11=algo20250324070424, 60=2025-03-24-07:04:24, 54=2, 44=42.05, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=59, 49=M3, 56=MS, 52=2025-03-24-07:04:26, 55=GOOGL, 40=2, 38=13199, 21=2, 11=algo20250324070426, 60=2025-03-24-07:04:26, 54=2, 44=289.20, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=61, 49=M3, 56=MS, 52=2025-03-24-07:04:30, 55=INTC, 40=2, 38=8442, 21=2, 11=algo20250324070430, 60=2025-03-24-07:04:30, 54=2, 44=339.13, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=63, 49=M3, 56=MS, 52=2025-03-24-07:04:33, 55=PEP, 40=2, 38=9435, 21=2, 11=algo20250324070433, 60=2025-03-24-07:04:33, 54=2, 44=36.21, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=65, 49=M3, 56=MS, 52=2025-03-24-07:04:35, 55=NFLX, 40=2, 38=5149, 21=2, 11=algo20250324070435, 60=2025-03-24-07:04:35, 54=2, 44=306.71, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=67, 49=M3, 56=MS, 52=2025-03-24-07:04:37, 55=CSCO, 40=2, 38=28576, 21=2, 11=algo20250324070437, 60=2025-03-24-07:04:37, 54=1, 44=233.73, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=68, 49=M3, 56=MS, 52=2025-03-24-07:04:40, 55=AMGN, 40=2, 38=9212, 21=2, 11=algo20250324070440, 60=2025-03-24-07:04:40, 54=2, 44=116.62, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=69, 49=M3, 56=MS, 52=2025-03-24-07:04:41, 55=PYPL, 40=2, 38=22238, 21=2, 11=algo20250324070441, 60=2025-03-24-07:04:41, 54=1, 44=723.61, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=71, 49=M3, 56=MS, 52=2025-03-24-07:04:44, 55=TSLA, 40=2, 38=20682, 21=2, 11=algo20250324070444, 60=2025-03-24-07:04:44, 54=1, 44=503.77, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=72, 49=M3, 56=MS, 52=2025-03-24-07:04:46, 55=TXN, 40=2, 38=3008, 21=2, 11=algo20250324070446, 60=2025-03-24-07:04:46, 54=1, 44=112.46, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=73, 49=M3, 56=MS, 52=2025-03-24-07:04:47, 55=AVGO, 40=2, 38=30354, 21=2, 11=algo20250324070447, 60=2025-03-24-07:04:47, 54=1, 44=262.99, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=75, 49=M3, 56=MS, 52=2025-03-24-07:04:52, 55=GILD, 40=2, 38=5994, 21=2, 11=algo20250324070452, 60=2025-03-24-07:04:52, 54=2, 44=82.91, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=76, 49=M3, 56=MS, 52=2025-03-24-07:04:53, 55=SBUX, 40=2, 38=17564, 21=2, 11=algo20250324070453, 60=2025-03-24-07:04:53, 54=2, 44=75.71, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=77, 49=M3, 56=MS, 52=2025-03-24-07:04:54, 55=QCOM, 40=2, 38=12428, 21=2, 11=algo20250324070454, 60=2025-03-24-07:04:54, 54=1, 44=75.47, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=79, 49=M3, 56=MS, 52=2025-03-24-07:04:56, 55=TMUS, 40=2, 38=26416, 21=2, 11=algo20250324070456, 60=2025-03-24-07:04:56, 54=1, 44=90.74, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=81, 49=M3, 56=MS, 52=2025-03-24-07:04:58, 55=MDLZ, 40=2, 38=6196, 21=2, 11=algo20250324070458, 60=2025-03-24-07:04:58, 54=2, 44=52.26, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2025-03-24-07:05:00, 55=BAC, 40=2, 38=263, 21=2, 11=algo20250324070500, 60=2025-03-24-07:05:00, 54=1, 44=22.03, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=85, 49=M3, 56=MS, 52=2025-03-24-07:05:02, 55=DDD, 40=2, 38=22782, 21=2, 11=algo20250324070502, 60=2025-03-24-07:05:02, 54=2, 44=8.01, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=86, 49=M3, 56=MS, 52=2025-03-24-07:05:06, 55=MMM, 40=2, 38=1469, 21=2, 11=algo20250324070506, 60=2025-03-24-07:05:06, 54=2, 44=146.98, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=88, 49=M3, 56=MS, 52=2025-03-24-07:05:08, 55=WBAI, 40=2, 38=19102, 21=2, 11=algo20250324070508, 60=2025-03-24-07:05:08, 54=1, 44=4.10, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=89, 49=M3, 56=MS, 52=2025-03-24-07:05:12, 55=WUBA, 40=2, 38=8157, 21=2, 11=algo20250324070512, 60=2025-03-24-07:05:12, 54=1, 44=51.41, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=90, 49=M3, 56=MS, 52=2025-03-24-07:05:13, 55=EGHT, 40=2, 38=6156, 21=2, 11=algo20250324070513, 60=2025-03-24-07:05:13, 54=2, 44=17.03, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=91, 49=M3, 56=MS, 52=2025-03-24-07:05:14, 55=AHC, 40=2, 38=23464, 21=2, 11=algo20250324070514, 60=2025-03-24-07:05:14, 54=2, 44=1.40, 10=0252,
fixlog20250324070237.log:8=FIX4.4, 35=D, 34=93, 49=M3, 56=MS, 52=2025-03-24-07:05:16, 55=AOS, 40=2, 38=14475, 21=2, 11=algo20250324070516, 60=2025-03-24-07:05:16, 54=2, 44=40.38, 10=0252,
